SKU,台灣價格,美國價格,台灣產品名,美國產品名
MC9W4,19900.0,599.0,11-inch iPad Air Wi-Fi 128GB - Space Gray,11-inch iPad Air Wi-Fi 128GB - Space Gray
MC9X4,19900.0,599.0,11-inch iPad Air Wi-Fi 128GB - Blue,11-inch iPad Air Wi-Fi 128GB - Blue
MC9Y4,19900.0,599.0,11-inch iPad Air Wi-Fi 128GB - Starlight,11-inch iPad Air Wi-Fi 128GB - Starlight
MCA04,19900.0,599.0,11-inch iPad Air Wi-Fi 128GB - Purple,11-inch iPad Air Wi-Fi 128GB - Purple
MCA14,23400.0,699.0,11-inch iPad Air Wi-Fi 256GB - Space Gray,11-inch iPad Air Wi-Fi 256GB - Space Gray
MCA34,23400.0,699.0,11-inch iPad Air Wi-Fi 256GB - Blue,11-inch iPad Air Wi-Fi 256GB - Blue
MCA44,23400.0,699.0,11-inch iPad Air Wi-Fi 256GB - Starlight,11-inch iPad Air Wi-Fi 256GB - Starlight
MCA64,23400.0,699.0,11-inch iPad Air Wi-Fi 256GB - Purple,11-inch iPad Air Wi-Fi 256GB - Purple
MCA74,30400.0,899.0,11-inch iPad Air Wi-Fi 512GB - Space Gray,11-inch iPad Air Wi-Fi 512GB - Space Gray
MCA94,30400.0,899.0,11-inch iPad Air Wi-Fi 512GB - Blue,11-inch iPad Air Wi-Fi 512GB - Blue
MCAA4,30400.0,899.0,11-inch iPad Air Wi-Fi 512GB - Starlight,11-inch iPad Air Wi-Fi 512GB - Starlight
MCAE4,30400.0,899.0,11-inch iPad Air Wi-Fi 512GB - Purple,11-inch iPad Air Wi-Fi 512GB - Purple
MCAH4,37400.0,1099.0,11-inch iPad Air Wi-Fi 1TB - Space Gray,11-inch iPad Air Wi-Fi 1TB - Space Gray
MCAJ4,37400.0,1099.0,11-inch iPad Air Wi-Fi 1TB - Blue,11-inch iPad Air Wi-Fi 1TB - Blue
MCAQ4,37400.0,1099.0,11-inch iPad Air Wi-Fi 1TB - Starlight,11-inch iPad Air Wi-Fi 1TB - Starlight
MCAU4,37400.0,1099.0,11-inch iPad Air Wi-Fi 1TB - Purple,11-inch iPad Air Wi-Fi 1TB - Purple
MCFV4,24900.0,749.0,11-inch iPad Air Wi-Fi + Cellular 128GB - Space Gray,11-inch iPad Air Wi-Fi + Cellular 128GB - Space Gray
MCFW4,24900.0,749.0,11-inch iPad Air Wi-Fi + Cellular 128GB - Blue,11-inch iPad Air Wi-Fi + Cellular 128GB - Blue
MCFX4,24900.0,749.0,11-inch iPad Air Wi-Fi + Cellular 128GB - Starlight,11-inch iPad Air Wi-Fi + Cellular 128GB - Starlight
MCFY4,24900.0,749.0,11-inch iPad Air Wi-Fi + Cellular 128GB - Purple,11-inch iPad Air Wi-Fi + Cellular 128GB - Purple
MCG04,28400.0,849.0,11-inch iPad Air Wi-Fi + Cellular 256GB - Space Gray,11-inch iPad Air Wi-Fi + Cellular 256GB - Space Gray
MCG14,28400.0,849.0,11-inch iPad Air Wi-Fi + Cellular 256GB - Blue,11-inch iPad Air Wi-Fi + Cellular 256GB - Blue
MCG24,28400.0,849.0,11-inch iPad Air Wi-Fi + Cellular 256GB - Starlight,11-inch iPad Air Wi-Fi + Cellular 256GB - Starlight
MCG34,28400.0,849.0,11-inch iPad Air Wi-Fi + Cellular 256GB - Purple,11-inch iPad Air Wi-Fi + Cellular 256GB - Purple
MCG44,35400.0,1049.0,11-inch iPad Air Wi-Fi + Cellular 512GB - Space Gray,11-inch iPad Air Wi-Fi + Cellular 512GB - Space Gray
MCG54,35400.0,1049.0,11-inch iPad Air Wi-Fi + Cellular 512GB - Blue,11-inch iPad Air Wi-Fi + Cellular 512GB - Blue
MCG64,35400.0,1049.0,11-inch iPad Air Wi-Fi + Cellular 512GB - Starlight,11-inch iPad Air Wi-Fi + Cellular 512GB - Starlight
MCG74,35400.0,1049.0,11-inch iPad Air Wi-Fi + Cellular 512GB - Purple,11-inch iPad Air Wi-Fi + Cellular 512GB - Purple
MCG84,42400.0,1249.0,11-inch iPad Air Wi-Fi + Cellular 1TB - Space Gray,11-inch iPad Air Wi-Fi + Cellular 1TB - Space Gray
MCG94,42400.0,1249.0,11-inch iPad Air Wi-Fi + Cellular 1TB - Blue,11-inch iPad Air Wi-Fi + Cellular 1TB - Blue
MCGA4,42400.0,1249.0,11-inch iPad Air Wi-Fi + Cellular 1TB - Starlight,11-inch iPad Air Wi-Fi + Cellular 1TB - Starlight
MCGC4,42400.0,1249.0,11-inch iPad Air Wi-Fi + Cellular 1TB - Purple,11-inch iPad Air Wi-Fi + Cellular 1TB - Purple
MCJ14,31900.0,949.0,13-inch iPad Air Wi-Fi + Cellular 128GB - Space Gray,13-inch iPad Air Wi-Fi + Cellular 128GB - Space Gray
MCJ24,31900.0,949.0,13-inch iPad Air Wi-Fi + Cellular 128GB - Blue,13-inch iPad Air Wi-Fi + Cellular 128GB - Blue
MCJ34,31900.0,949.0,13-inch iPad Air Wi-Fi + Cellular 128GB - Starlight,13-inch iPad Air Wi-Fi + Cellular 128GB - Starlight
MCJ44,31900.0,949.0,13-inch iPad Air Wi-Fi + Cellular 128GB - Purple,13-inch iPad Air Wi-Fi + Cellular 128GB - Purple
MCJ54,35400.0,1049.0,13-inch iPad Air Wi-Fi + Cellular 256GB - Space Gray,13-inch iPad Air Wi-Fi + Cellular 256GB - Space Gray
MCJ64,35400.0,1049.0,13-inch iPad Air Wi-Fi + Cellular 256GB - Blue,13-inch iPad Air Wi-Fi + Cellular 256GB - Blue
MCJ74,35400.0,1049.0,13-inch iPad Air Wi-Fi + Cellular 256GB - Starlight,13-inch iPad Air Wi-Fi + Cellular 256GB - Starlight
MCJ84,35400.0,1049.0,13-inch iPad Air Wi-Fi + Cellular 256GB - Purple,13-inch iPad Air Wi-Fi + Cellular 256GB - Purple
MCJ94,42400.0,1249.0,13-inch iPad Air Wi-Fi + Cellular 512GB - Space Gray,13-inch iPad Air Wi-Fi + Cellular 512GB - Space Gray
MCJA4,42400.0,1249.0,13-inch iPad Air Wi-Fi + Cellular 512GB - Blue,13-inch iPad Air Wi-Fi + Cellular 512GB - Blue
MCJC4,42400.0,1249.0,13-inch iPad Air Wi-Fi + Cellular 512GB - Starlight,13-inch iPad Air Wi-Fi + Cellular 512GB - Starlight
MCJD4,42400.0,1249.0,13-inch iPad Air Wi-Fi + Cellular 512GB - Purple,13-inch iPad Air Wi-Fi + Cellular 512GB - Purple
MCJE4,49400.0,1449.0,13-inch iPad Air Wi-Fi + Cellular 1TB - Space Gray,13-inch iPad Air Wi-Fi + Cellular 1TB - Space Gray
MCJF4,49400.0,1449.0,13-inch iPad Air Wi-Fi + Cellular 1TB - Blue,13-inch iPad Air Wi-Fi + Cellular 1TB - Blue
MCJG4,49400.0,1449.0,13-inch iPad Air Wi-Fi + Cellular 1TB - Starlight,13-inch iPad Air Wi-Fi + Cellular 1TB - Starlight
MCJH4,49400.0,1449.0,13-inch iPad Air Wi-Fi + Cellular 1TB - Purple,13-inch iPad Air Wi-Fi + Cellular 1TB - Purple
MCNH4,26900.0,799.0,13-inch iPad Air Wi-Fi 128GB - Space Gray,13-inch iPad Air Wi-Fi 128GB - Space Gray
MCNJ4,26900.0,799.0,13-inch iPad Air Wi-Fi 128GB - Blue,13-inch iPad Air Wi-Fi 128GB - Blue
MCNK4,26900.0,799.0,13-inch iPad Air Wi-Fi 128GB - Starlight,13-inch iPad Air Wi-Fi 128GB - Starlight
MCNL4,26900.0,799.0,13-inch iPad Air Wi-Fi 128GB - Purple,13-inch iPad Air Wi-Fi 128GB - Purple
MCNN4,30400.0,899.0,13-inch iPad Air Wi-Fi 256GB - Space Gray,13-inch iPad Air Wi-Fi 256GB - Space Gray
MCNP4,30400.0,899.0,13-inch iPad Air Wi-Fi 256GB - Blue,13-inch iPad Air Wi-Fi 256GB - Blue
MCNQ4,30400.0,899.0,13-inch iPad Air Wi-Fi 256GB - Starlight,13-inch iPad Air Wi-Fi 256GB - Starlight
MCNR4,30400.0,899.0,13-inch iPad Air Wi-Fi 256GB - Purple,13-inch iPad Air Wi-Fi 256GB - Purple
MCNT4,37400.0,1099.0,13-inch iPad Air Wi-Fi 512GB - Space Gray,13-inch iPad Air Wi-Fi 512GB - Space Gray
MCNW4,37400.0,1099.0,13-inch iPad Air Wi-Fi 512GB - Blue,13-inch iPad Air Wi-Fi 512GB - Blue
MCNX4,37400.0,1099.0,13-inch iPad Air Wi-Fi 512GB - Starlight,13-inch iPad Air Wi-Fi 512GB - Starlight
MCNY4,37400.0,1099.0,13-inch iPad Air Wi-Fi 512GB - Purple,13-inch iPad Air Wi-Fi 512GB - Purple
MCQ04,44400.0,1299.0,13-inch iPad Air Wi-Fi 1TB - Space Gray,13-inch iPad Air Wi-Fi 1TB - Space Gray
MCQ14,44400.0,1299.0,13-inch iPad Air Wi-Fi 1TB - Blue,13-inch iPad Air Wi-Fi 1TB - Blue
MCQ24,44400.0,1299.0,13-inch iPad Air Wi-Fi 1TB - Starlight,13-inch iPad Air Wi-Fi 1TB - Starlight
MCQ34,44400.0,1299.0,13-inch iPad Air Wi-Fi 1TB - Purple,13-inch iPad Air Wi-Fi 1TB - Purple
MD3Y4,11900.0,349.0,11-inch iPad Wi-Fi 128GB - Silver,11-inch iPad Wi-Fi 128GB - Silver
MD4A4,11900.0,349.0,11-inch iPad Wi-Fi 128GB - Blue,11-inch iPad Wi-Fi 128GB - Blue
MD4D4,11900.0,349.0,11-inch iPad Wi-Fi 128GB - Yellow,11-inch iPad Wi-Fi 128GB - Yellow
MD4E4,11900.0,349.0,11-inch iPad Wi-Fi 128GB - Pink,11-inch iPad Wi-Fi 128GB - Pink
MD4G4,15400.0,449.0,11-inch iPad Wi-Fi 256GB - Silver,11-inch iPad Wi-Fi 256GB - Silver
MD4H4,15400.0,449.0,11-inch iPad Wi-Fi 256GB - Blue,11-inch iPad Wi-Fi 256GB - Blue
MD4J4,15400.0,449.0,11-inch iPad Wi-Fi 256GB - Yellow,11-inch iPad Wi-Fi 256GB - Yellow
MD4P4,15400.0,449.0,11-inch iPad Wi-Fi 256GB - Pink,11-inch iPad Wi-Fi 256GB - Pink
MD4Q4,22400.0,649.0,11-inch iPad Wi-Fi 512GB - Silver,11-inch iPad Wi-Fi 512GB - Silver
MD4Y4,22400.0,649.0,11-inch iPad Wi-Fi 512GB - Blue,11-inch iPad Wi-Fi 512GB - Blue
MD5A4,22400.0,649.0,11-inch iPad Wi-Fi 512GB - Yellow,11-inch iPad Wi-Fi 512GB - Yellow
MD5C4,22400.0,649.0,11-inch iPad Wi-Fi 512GB - Pink,11-inch iPad Wi-Fi 512GB - Pink
MD7F4,16900.0,499.0,11-inch iPad Wi‑Fi + Cellular 128GB - Silver,11-inch iPad Wi‑Fi + Cellular 128GB - Silver
MD7G4,16900.0,499.0,11-inch iPad Wi‑Fi + Cellular 128GB - Blue,11-inch iPad Wi‑Fi + Cellular 128GB - Blue
MD7H4,16900.0,499.0,11-inch iPad Wi‑Fi + Cellular 128GB - Yellow,11-inch iPad Wi‑Fi + Cellular 128GB - Yellow
MD7J4,16900.0,499.0,11-inch iPad Wi‑Fi + Cellular 128GB - Pink,11-inch iPad Wi‑Fi + Cellular 128GB - Pink
MD7K4,20400.0,599.0,11-inch iPad Wi‑Fi + Cellular 256GB - Silver,11-inch iPad Wi‑Fi + Cellular 256GB - Silver
MD7L4,20400.0,599.0,11-inch iPad Wi‑Fi + Cellular 256GB - Blue,11-inch iPad Wi‑Fi + Cellular 256GB - Blue
MD7M4,20400.0,599.0,11-inch iPad Wi‑Fi + Cellular 256GB - Yellow,11-inch iPad Wi‑Fi + Cellular 256GB - Yellow
MD7N4,20400.0,599.0,11-inch iPad Wi‑Fi + Cellular 256GB - Pink,11-inch iPad Wi‑Fi + Cellular 256GB - Pink
MD7P4,27400.0,799.0,11-inch iPad Wi‑Fi + Cellular 512GB - Silver,11-inch iPad Wi‑Fi + Cellular 512GB - Silver
MD7Q4,27400.0,799.0,11-inch iPad Wi‑Fi + Cellular 512GB - Blue,11-inch iPad Wi‑Fi + Cellular 512GB - Blue
MD7R4,27400.0,799.0,11-inch iPad Wi‑Fi + Cellular 512GB - Yellow,11-inch iPad Wi‑Fi + Cellular 512GB - Yellow
MD7T4,27400.0,799.0,11-inch iPad Wi‑Fi + Cellular 512GB - Pink,11-inch iPad Wi‑Fi + Cellular 512GB - Pink
MVV83,34900.0,999.0,11-inch iPad Pro Wi‑Fi 256GB with standard glass - Space Black,11-inch iPad Pro Wi‑Fi 256GB with standard glass - Space Black
MVV93,34900.0,999.0,11-inch iPad Pro Wi‑Fi 256GB with standard glass - Silver,11-inch iPad Pro Wi‑Fi 256GB with standard glass - Silver
MVVC3,41900.0,1199.0,11-inch iPad Pro Wi‑Fi 512GB with standard glass - Space Black,11-inch iPad Pro Wi‑Fi 512GB with standard glass - Space Black
MVVD3,41900.0,1199.0,11-inch iPad Pro Wi‑Fi 512GB with standard glass - Silver,11-inch iPad Pro Wi‑Fi 512GB with standard glass - Silver
MVVE3,55900.0,1599.0,11-inch iPad Pro Wi‑Fi 1TB with standard glass - Space Black,11-inch iPad Pro Wi‑Fi 1TB with standard glass - Space Black
MVVF3,55900.0,1599.0,11-inch iPad Pro Wi‑Fi 1TB with standard glass - Silver,11-inch iPad Pro Wi‑Fi 1TB with standard glass - Silver
MVVG3,69900.0,1999.0,11-inch iPad Pro Wi‑Fi 2TB with standard glass - Space Black,11-inch iPad Pro Wi‑Fi 2TB with standard glass - Space Black
MVVH3,69900.0,1999.0,11-inch iPad Pro Wi‑Fi 2TB with standard glass - Silver,11-inch iPad Pro Wi‑Fi 2TB with standard glass - Silver
MVW13,41900.0,1199.0,11-inch iPad Pro Wi‑Fi + Cellular 256GB with standard glass - Space Black,11-inch iPad Pro Wi‑Fi + Cellular 256GB with standard glass - Space Black
MVW23,41900.0,1199.0,11-inch iPad Pro Wi‑Fi + Cellular 256GB with standard glass - Silver,11-inch iPad Pro Wi‑Fi + Cellular 256GB with standard glass - Silver
MVW33,48900.0,1399.0,11-inch iPad Pro Wi‑Fi + Cellular 512GB with standard glass - Space Black,11-inch iPad Pro Wi‑Fi + Cellular 512GB with standard glass - Space Black
MVW43,48900.0,1399.0,11-inch iPad Pro Wi‑Fi + Cellular 512GB with standard glass - Silver,11-inch iPad Pro Wi‑Fi + Cellular 512GB with standard glass - Silver
MVW53,62900.0,1799.0,11-inch iPad Pro Wi‑Fi + Cellular 1TB with standard glass - Space Black,11-inch iPad Pro Wi‑Fi + Cellular 1TB with standard glass - Space Black
MVW63,62900.0,1799.0,11-inch iPad Pro Wi‑Fi + Cellular 1TB with standard glass - Silver,11-inch iPad Pro Wi‑Fi + Cellular 1TB with standard glass - Silver
MVW73,76900.0,2199.0,11-inch iPad Pro Wi‑Fi + Cellular 2TB with standard glass - Space Black,11-inch iPad Pro Wi‑Fi + Cellular 2TB with standard glass - Space Black
MVW83,76900.0,2199.0,11-inch iPad Pro Wi‑Fi + Cellular 2TB with standard glass - Silver,11-inch iPad Pro Wi‑Fi + Cellular 2TB with standard glass - Silver
MVX23,45900.0,1299.0,13-inch iPad Pro Wi‑Fi 256GB with standard glass - Space Black,13-inch iPad Pro Wi‑Fi 256GB with standard glass - Space Black
MVX33,45900.0,1299.0,13-inch iPad Pro Wi‑Fi 256GB with standard glass - Silver,13-inch iPad Pro Wi‑Fi 256GB with standard glass - Silver
MVX43,52900.0,1499.0,13-inch iPad Pro Wi‑Fi 512GB with standard glass - Space Black,13-inch iPad Pro Wi‑Fi 512GB with standard glass - Space Black
MVX53,52900.0,1499.0,13-inch iPad Pro Wi‑Fi 512GB with standard glass - Silver,13-inch iPad Pro Wi‑Fi 512GB with standard glass - Silver
MVX63,66900.0,1899.0,13-inch iPad Pro Wi‑Fi 1TB with standard glass - Space Black,13-inch iPad Pro Wi‑Fi 1TB with standard glass - Space Black
MVX73,66900.0,1899.0,13-inch iPad Pro Wi‑Fi 1TB with standard glass - Silver,13-inch iPad Pro Wi‑Fi 1TB with standard glass - Silver
MVX83,80900.0,2299.0,13-inch iPad Pro Wi‑Fi 2TB with standard glass - Space Black,13-inch iPad Pro Wi‑Fi 2TB with standard glass - Space Black
MVX93,80900.0,2299.0,13-inch iPad Pro Wi‑Fi 2TB with standard glass - Silver,13-inch iPad Pro Wi‑Fi 2TB with standard glass - Silver
MVXR3,52900.0,1499.0,13-inch iPad Pro Wi‑Fi + Cellular 256GB with standard glass - Space Black,13-inch iPad Pro Wi‑Fi + Cellular 256GB with standard glass - Space Black
MVXT3,52900.0,1499.0,13-inch iPad Pro Wi‑Fi + Cellular 256GB with standard glass - Silver,13-inch iPad Pro Wi‑Fi + Cellular 256GB with standard glass - Silver
MVXU3,59900.0,1699.0,13-inch iPad Pro Wi‑Fi + Cellular 512GB with standard glass - Space Black,13-inch iPad Pro Wi‑Fi + Cellular 512GB with standard glass - Space Black
