SKU_US,SKU_TW,Price_US,Price_TW,PRODUCT_NAME
MYAP3,MYE73,729.0,25900.0,Iphone 16 128Gb
MXUT3,MXVU3,829.0,29900.0,Iphone 16 Plus 128Gb
MXUY3,MXWN3,929.0,33400.0,Iphone 16 Plus 256Gb
MD0D4,MD1Q4,599.0,21900.0,Iphone 16E 128Gb
MD0F4,MD1T4,699.0,25400.0,Iphone 16E 256Gb
MD0J4,MD1X4,899.0,32400.0,Iphone 16E 512Gb
MG464,MG6J4,829.0,29900.0,Iphone 17 256Gb
MG4E4,MG6P4,1029.0,36900.0,Iphone 17 512Gb
MG7T4,MG8Q4,1499.0,53900.0,Iphone 17 Pro 1Tb
MG7L4,MG8H4,1099.0,39900.0,Iphone 17 Pro 256Gb
MG7P4,MG8M4,1299.0,46900.0,Iphone 17 Pro 512Gb
MFXP4,MFYW4,1599.0,58900.0,Iphone 17 Pro Max 1Tb
MFXH4,MFYN4,1199.0,44900.0,Iphone 17 Pro Max 256Gb
MFXT4,MG004,1999.0,72900.0,Iphone 17 Pro Max 2Tb
MFXL4,MFYT4,1399.0,51900.0,Iphone 17 Pro Max 512Gb
MG1N4,MG2X4,1399.0,50900.0,Iphone Air 1Tb
MG194,MG2M4,999.0,36900.0,Iphone Air 256Gb
MG1G4,MG2T4,1199.0,43900.0,Iphone Air 512Gb
