SKU,Chip,CPU_Cores,GPU_Cores,Neural_Engine,Memory,Storage,Price_US,Price_TW,PRODUCT_NAME
MD2T4,M4,10.0,10.0,,24GB,512GB,1899.0,63900.0,Blue iMac
MWUF3,M4,8.0,8.0,,16GB,256GB,1299.0,42900.0,Blue iMac
MWV13,M4,10.0,10.0,,16GB,256GB,1499.0,49900.0,Blue iMac
MWV33,M4,10.0,10.0,,16GB,512GB,1699.0,56900.0,Blue iMac
MD2Q4,M4,10.0,10.0,,24GB,512GB,1899.0,63900.0,Green iMac
MWUE3,M4,8.0,8.0,,16GB,256GB,1299.0,42900.0,Green iMac
MWUY3,M4,10.0,10.0,,16GB,256GB,1499.0,49900.0,Green iMac
MWV03,M4,10.0,10.0,,16GB,512GB,1699.0,56900.0,Green iMac
Z1JZ,,,,,,,6999.0,229900.0,Mac Pro
Z1K0,,,,,,,7499.0,244900.0,Mac Pro
MU963,,14.0,32.0,16.0,36GB,512GB,1999.0,67900.0,Mac Studio
MU973,,28.0,60.0,32.0,96GB,1TB,3999.0,137900.0,Mac Studio
MCX44,M4 PRO,12.0,16.0,,24GB,512GB,1399.0,46900.0,Mac mini
MCYT4,M4,10.0,10.0,,24GB,512GB,999.0,33900.0,Mac mini
MU9D3,M4,10.0,10.0,,16GB,256GB,599.0,19900.0,Mac mini
MU9E3,M4,10.0,10.0,,16GB,512GB,799.0,26900.0,Mac mini
Z1E8,M4,8.0,8.0,,16GB,256GB,1299.0,42900.0,Orange iMac
Z1EV,M4,10.0,10.0,,16GB,256GB,1499.0,49900.0,Orange iMac
Z1EW,M4,10.0,10.0,,16GB,512GB,1699.0,56900.0,Orange iMac
Z1K8,M4,10.0,10.0,,24GB,512GB,1899.0,63900.0,Orange iMac
MD2U4,M4,10.0,10.0,,24GB,512GB,1899.0,63900.0,Pink iMac
MWUG3,M4,8.0,8.0,,16GB,256GB,1299.0,42900.0,Pink iMac
MWV43,M4,10.0,10.0,,16GB,256GB,1499.0,49900.0,Pink iMac
MWV53,M4,10.0,10.0,,16GB,512GB,1699.0,56900.0,Pink iMac
Z1E7,M4,8.0,8.0,,16GB,256GB,1299.0,42900.0,Purple iMac
Z1ET,M4,10.0,10.0,,16GB,256GB,1499.0,49900.0,Purple iMac
Z1EU,M4,10.0,10.0,,16GB,512GB,1699.0,56900.0,Purple iMac
Z1K7,M4,10.0,10.0,,24GB,512GB,1899.0,63900.0,Purple iMac
MCR24,M4,10.0,10.0,,24GB,512GB,1899.0,63900.0,Silver iMac
MWUC3,M4,8.0,8.0,,16GB,256GB,1299.0,42900.0,Silver iMac
MWUU3,M4,10.0,10.0,,16GB,256GB,1499.0,49900.0,Silver iMac
MWUV3,M4,10.0,10.0,,16GB,512GB,1699.0,56900.0,Silver iMac
Z1E3,M4,8.0,8.0,,16GB,256GB,1299.0,42900.0,Yellow iMac
Z1EK,M4,10.0,10.0,,16GB,256GB,1499.0,49900.0,Yellow iMac
Z1EL,M4,10.0,10.0,,16GB,512GB,1699.0,56900.0,Yellow iMac
Z1K2,M4,10.0,10.0,,24GB,512GB,1899.0,63900.0,Yellow iMac
