SKU,Price_US,Price_TW,PRODUCT_NAME
MEHV4,249.0,7900.0,Apple Watch SE 3 40mm (GPS)
MEHX4,249.0,7900.0,Apple Watch SE 3 40mm (GPS) (Model 2)
MEQ14,299.0,9400.0,Apple Watch SE 3 40mm (GPS) (Model 3)
MEQ24,299.0,9400.0,Apple Watch SE 3 40mm (GPS) (Model 4)
MEP04,279.0,8900.0,Apple Watch SE 3 44mm (GPS)
MEP34,279.0,8900.0,Apple Watch SE 3 44mm (GPS) (Model 2)
MEQ34,329.0,10400.0,Apple Watch SE 3 44mm (GPS) (Model 3)
MEQ44,329.0,10400.0,Apple Watch SE 3 44mm (GPS) (Model 4)
MF9H4,699.0,22900.0,Apple Watch Series 11 42mm (GPS) - MF9H4
MEW04,399.0,12900.0,Apple Watch Series 11 42mm aluminum
MEW14,399.0,12900.0,Apple Watch Series 11 42mm aluminum (Model 2)
MEW24,399.0,12900.0,Apple Watch Series 11 42mm aluminum (Model 3)
MEW34,399.0,12900.0,Apple Watch Series 11 42mm aluminum (Model 4)
MF994,499.0,15900.0,Apple Watch Series 11 42mm aluminum (Model 5)
MF9C4,499.0,15900.0,Apple Watch Series 11 42mm aluminum (Model 6)
MF9E4,499.0,15900.0,Apple Watch Series 11 42mm aluminum (Model 7)
MF9F4,499.0,15900.0,Apple Watch Series 11 42mm aluminum (Model 8)
MFAY4,749.0,24400.0,Apple Watch Series 11 46mm (GPS) - MFAY4
MEW84,429.0,13900.0,Apple Watch Series 11 46mm aluminum
MEW94,429.0,13900.0,Apple Watch Series 11 46mm aluminum (Model 2)
MEWA4,429.0,13900.0,Apple Watch Series 11 46mm aluminum (Model 3)
MEWC4,429.0,13900.0,Apple Watch Series 11 46mm aluminum (Model 4)
MFAA4,529.0,16900.0,Apple Watch Series 11 46mm aluminum (Model 5)
MFAE4,529.0,16900.0,Apple Watch Series 11 46mm aluminum (Model 6)
MFAF4,529.0,16900.0,Apple Watch Series 11 46mm aluminum (Model 7)
MFAJ4,529.0,16900.0,Apple Watch Series 11 46mm aluminum (Model 8)
MF1V4,799.0,26900.0,Apple Watch Ultra 3 - MF1V4
